0
SU.PA.PA
NVR
GEN
CNC
APD
EXPE
PEG
AHT.L
MPC
RDC.DE
NDX1.DE
KGX.DE
NXPI
MBG.DE.DE
L
BK
SMCI
SMMT
HSY
CDNS
VST
OR.PA.PA
TYL
KHC
JBHT
BARC.L
TT
SDR.L
RSG
ERIE
PWR
HD
BBY
SYY
FRES.L
KER.PA.PA
HES
ENR.DE.DE
ZAL.DE.DE
IDXX
SWK
OKE
UBER
PPG
EQIX
GEV
STT
WM
MCD
EXR
CCH.L
URW.PA.PA
BLDR
BX
CNP
FNTN.DE
ULTA
CSCO
KO
VRSK
MKTX
GOOG
AMP
PM
NUE
HLN.L
PLTR
APH
ADI
LII
PUB.PA.PA
JNJ
HSBA.L
EQR
VIST
HPQ
SNPS
ZTS
PGR
BC8.DE
RMD
TKA.DE
ICG.L
LXS.DE
TPL
LOW
AVY
CVS
MA
NWSA
POOL
KIM
HSIC
UNH
WAF.DE
IAG.L
DLR
MCO
HLE.DE
MRO.L
BMI
HTZ
EPAM
AMD
ED
DXCM
VRSN
VNA.DE.DE
III.L
HAG.DE
GNRC
NVDA
MSCI
CVX
PSN.L
TROW
UAL
EW
JUN3.DE
MLM
PPL
P911.DE.DE
GRMN
MT.AS.PA
IMB.L
CTSH
CON.DE.DE
BA
GE
T
JEN.DE
BKG.L
ANET
JKHY
MOH
EQT
NEE
HAL
JBL
UNP
HWM
WMB
DAL
FI
ALL
KLAC
MU
AT1.DE
CRWD
GPN
BT-A.L
BHVN
EOG
MMC
AOS
WRB
PHNX.L
CCL
MTCH
TXN
DHER.DE
AIZ
EVD.DE
CAP.PA.PA
NCLH
SGRO.L
AXP
CDW
AAPL
ENGI.PA.PA
SBUX
ADBE
CPT
MRNA
MS
IFX.DE.DE
OXY
ADM
HAS
APO
EVK.DE
ULVR.L
VIV.PA.PA
HNR1.DE.DE
STE
WSM
MNG.L
EBAY
SBRY.L
TGT
WEIR.L
TMUS
PSH.L
DRI
ABF.L
AON
FOXA
OZK
RRTL.DE
AJG
EN.PA.PA
LDOS
BMY
ZBH
TAP
INCY
MPWR
SO
ENPH
BAC
WST
YUM
WTB.L
CRL
WFC
CHRW
GS
ANSS
VRTX
ADM.L
COP
COST
DB1.DE.DE
TEP.PA.PA
BRK.B
ALLE
SHW
VLO
CCI
J
FSLR
JCI
MTB
AZN.L
NSC
AUTO.L
CNA.L
TER
TEG.DE
C
TRGP
OMC
IVZ
ETR
MCK
PANW
GL
SHL.DE.DE
EFX
ECL
PKG
ELF
FRE.DE
GILD
STMPA.PA.PA
ISRG
DTE
QIA.DE.DE
KGF.L
COR
LIN
FCIT.L
CPB
FIS
8TRA.DE
HRL
HEI.DE.DE
NRG
LYB
SLB
AFL
KEY
ZBRA
XEL
HLMA.L
EMN
VMC
SYK
COF
NFLX
AIXA.DE
FRE.DE.DE
LLOY.L
UU.L
ML.PA.PA
CME
RAA.DE
DUK
HLT
META
MGM
FAST
RJF
K
CF
NEM.DE
UTDI.DE
PCT.L
UPS
CMG
KBX.DE
AAF.L
TPR
WEC
TDY
HWDN.L
LKQ
TMO
VTRS
MET
GOOGL
CPAY
ES
BP.L
RTO
MSFT
BAX
WAT
CSX
ESS
FE
INF.L
KKR
CPG.L
DOC
CA.PA.PA
AES
RTO.L
BAB.L
CBOE
MCHP
EVRG
LAND.L
SCHW
INTC
FDS
LH
BNP.PA.PA
AEE
VOD.L
AIR.PA.PA
DGE.L
AMX
DLTR
ITW
SPX.L
ABBV
BLK
PNW
DJT
NKE
WPP.L
AVB
HOLX
DECK
ENT.L
PFE
BMW.DE.DE
NWG.L
WMT
HCA
AZO
UHS
CPRT
VZ
WBA
TTWO
CAG
PCAR
HOT.DE
FOX
PNR
VAL
CHTR
RR.L
CFG
KEYS
BALL
MSI
LMT
LVS
HO.PA.PA
ALW.L
DD
LSEG.L
FICO
SW
DPLM.L
IBM
PEP
PAH3.DE.DE
AEP
PAYX
EVT.DE
DSY.PA.PA
RI.PA.PA
BA.L
PRU
DJTWW
BF.B
AI.PA.PA
FFIV
WBD
CCEP.L
GD
GSK.L
RHM.DE.DE
BEI.DE.DE
SN.L
AVGO
PUM.DE
SWKS
EDEN.PA.PA
BIIB
ROP
ABT
1COV.DE.DE
FRA.DE
LHA.DE
DBK.DE.DE
LMP.L
LULU
SMT.L
TFC
DFS
AMAT
BEZ.L
CLX
MTD
SSE.L
CAH
SGE.L
ELV
ECV.DE
DAY
SAX.DE
IR
SYF
D
MNDI.L
CBK.DE.DE
NOC
KRN.DE
ACA.PA.PA
WYNN
NEM
DPZ
APTV
FCX
RF
ABNB
BKNG
HST
BXP
ADS.DE.DE
SY1.DE.DE
DOV
DVA
REGN
CRDA.L
EIX
RTX
STLD
ADP
PSX
CB
KR
RWE.DE.DE
KMI
